OT 95,Rehnquist,Stevens,O’Connor,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer
Thomas,89%,62%,78%,91%,85%,63%,NA,66%,64%
Ginsburg,71%,92%,77%,64%,73%,94%,66%,NA,94%
Breyer,74%,88%,82%,66%,74%,87%,64%,94%,NA
,,,,,,,,,
OT 04,Rehnquist,Stevens,O’Connor,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer
Rehnquist,NA,55%,84%,81%,83%,59%,91%,61%,70%
Stevens,55%,NA,71%,60%,66%,86%,60%,84%,76%
O’Connor,84%,71%,NA,74%,80%,73%,78%,71%,83%
Scalia,81%,60%,74%,NA,79%,66%,88%,66%,69%
Kennedy,83%,66%,80%,79%,NA,70%,76%,71%,80%
Souter,59%,86%,73%,66%,70%,NA,61%,88%,83%
Thomas,91%,60%,78%,88%,76%,61%,NA,60%,68%
Ginsburg,61%,84%,71%,66%,71%,88%,60%,NA,86%
Breyer,70%,76%,83%,69%,80%,83%,68%,86%,NA
,,,,,,,,,
OT 05 [Sans Alito],Roberts,Stevens,O’Connor,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer
Roberts,NA,72%,91%,95%,89%,78%,92%,80%,80%
Stevens,72%,NA,88%,71%,76%,90%,68%,89%,85%
O’Connor,91%,88%,NA,92%,88%,96%,87%,88%,92%
Scalia,95%,71%,92%,NA,88%,76%,95%,74%,77%
Kennedy,89%,76%,88%,88%,NA,80%,85%,79%,77%
Souter,78%,90%,96%,76%,80%,NA,70%,88%,91%
Thomas,92%,68%,87%,95%,85%,70%,NA,70%,73%
Ginsburg,80%,89%,88%,74%,79%,88%,70%,NA,88%
Breyer,80%,85%,92%,77%,77%,91%,73%,88%,NA
,,,,,,,,,
OT 06,Roberts,Stevens,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer,Alito
Roberts,NA,58%,91%,85%,70%,88%,62%,63%,94%
Stevens,58%,NA,56%,66%,81%,52%,89%,86%,58%
Scalia,91%,56%,NA,79%,63%,93%,61%,56%,86%
Kennedy,85%,66%,79%,NA,75%,79%,73%,74%,90%
Souter,70%,81%,63%,75%,NA,61%,89%,89%,67%
Thomas,88%,52%,93%,79%,61%,NA,59%,55%,85%
Ginsburg,62%,89%,61%,73%,89%,59%,NA,90%,64%
Breyer,63%,86%,56%,74%,89%,55%,90%,NA,66%
Alito,94%,58%,86%,90%,67%,85%,64%,66%,NA
,,,,,,,,,
OT 07,Roberts,Stevens,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer,Alito
Roberts,NA,72%,88%,84%,72%,79%,69%,75%,88%
Stevens,72%,NA,64%,77%,87%,57%,84%,86%,71%
Scalia,88%,64%,NA,77%,64%,87%,65%,63%,82%
Kennedy,84%,77%,77%,NA,74%,62%,72%,85%,82%
Souter,72%,87%,64%,74%,NA,59%,87%,83%,69%
Thomas,79%,57%,87%,62%,59%,NA,55%,57%,79%
Ginsburg,69%,84%,65%,72%,87%,55%,NA,80%,68%
Breyer,75%,86%,63%,85%,83%,57%,80%,NA,72%
Alito,88%,71%,82%,82%,69%,79%,68%,72%,NA
,,,,,,,,,
OT 08,Roberts,Stevens,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer,Alito
Roberts,NA,51%,87%,86%,57%,82%,53%,66%,92%
Stevens,51%,NA,48%,59%,87%,46%,86%,81%,48%
Scalia,87%,48%,NA,81%,59%,87%,56%,61%,87%
Kennedy,86%,59%,81%,NA,66%,80%,67%,77%,87%
Souter,57%,87%,59%,66%,NA,57%,86%,77%,51%
Thomas,82%,46%,87%,80%,57%,NA,53%,58%,85%
Ginsburg,53%,86%,56%,67%,86%,53%,NA,81%,53%
Breyer,66%,81%,61%,77%,77%,58%,81%,NA,66%
Alito,92%,48%,87%,87%,51%,85%,53%,66%,NA
,,,,,,,,,
OT 09,Roberts,Stevens,Scalia,Kennedy,Thomas,Ginsburg,Breyer,Alito,Sotomayor
Roberts,NA,68%,88%,87%,85%,79%,73%,88%,78%
Stevens,68%,NA,64%,74%,60%,78%,82%,61%,84%
Scalia,88%,64%,NA,80%,92%,67%,66%,82%,69%
Kennedy,87%,74%,80%,NA,74%,80%,76%,85%,78%
Thomas,85%,60%,92%,74%,NA,69%,65%,85%,69%
